Artist,Track Name,Popularity,Duration (ms),Track ID
Travis Scott,TELEKINESIS (feat. SZA & Future),86,353754,1i9lZvlaDdWDPyXEE95aiq
Travis Scott,MELTDOWN (feat. Drake),86,246133,67nepsnrcZkowTxMWigSbb
Jack Harlow,Lovin On Me,97,138411,4xhsWYTOGcal8zt0J161CU
Jung Kook,3D (feat. Jack Harlow),84,201812,01qFKNWq73UfEslI0GvumE
Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),78,212352,5Z9KJZvQzH6PFmb8SNkxuk
Jack Harlow,First Class,80,173947,0wHFktze2PHC5jDt3B17DC
Jack Harlow,Tyler Herro,78,156578,3w1WjD2zJqjBjDz5fwqQPJ
Jack Harlow,WHATS POPPIN,78,139741,1jaTQ3nqY3oAAYyCTbIvnM
Jack Harlow,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",68,227478,0ZLuW8uOXdFNWcI40C0OC2
Lyrical Lemonade,Stop Giving Me Advice (with Jack Harlow & Dave),66,242453,12UgxYOGvFcuFlIf95vEGr
Jack Harlow,They Don't Love It,72,113292,2dSKFFNoNXKo3hPnlwUdPe
Jack Harlow,I WANNA SEE SOME ASS (feat. jetsonmade),71,125302,2aWVaW1p2kUc5yuKwBmRJi
Metro Boomin,Too Many Nights (feat. Don Toliver & with Future),89,199920,2Hh3ETdQKrmSI3QS0hme7g
Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],88,182666,0vjeOZ3Ft5jvAi9SBFJm1j
Travis Scott,TELEKINESIS (feat. SZA & Future),86,353754,1i9lZvlaDdWDPyXEE95aiq
Future,Solo,84,265996,4lH6nENd1y81jp7Yt9lTBX
Future,WAIT FOR U (feat. Drake & Tems),84,189893,59nOXPmaKlBfGMDeOVGrIK
Future,Low Life (feat. The Weeknd),84,313546,7EiZI6JVHllARrX9PUvAdX
Future,Mask Off,83,204600,0VgkVdmE4gld66l8iyGjgx
Don Toliver,Private Landing (feat. Justin Bieber & Future),82,238253,52NGJPcLUzQq5w7uv4e5gf
Future,PUFFIN ON ZOOTIEZ,81,172933,1qMMYpVatbRITKCfq1gasi
Future,Life Is Good (feat. Drake),75,237918,1K5KBOgreBi5fkEHvg5ap3
Lil Wayne,Love Me,87,255053,2XHzzp1j4IfTNp1FTn7YFg
Metro Boomin,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",79,231746,39MK3d3fonIP8Mz9oHCTBB
Drake,Forever,77,357706,5UsLjwBaTHBX4ektWIr4XX
Lil Wayne,Lollipop,68,299333,1pm7lQGl6mvKWDxesZTVFp
Lil Wayne,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",77,243490,4dASQiO1Eoo3RJvt74FtXB
Lil Wayne,A Milli,69,221813,1xPW9rS8dkuJP46WBTqU2C
Lil Wayne,Mirror,77,228093,5hUYsaOyMY32yjRXeuQwGj
Lil Wayne,Mrs. Officer,65,286906,2sQuds8s3EVbhXJpgVWpO4
Yeat,Lyfestylë (with Lil Wayne),73,236883,15qRV1yUqFR6ViOwxoopod
Lil Wayne,6 Foot 7 Foot,74,248586,5Qy6a5KzM4XlRxsNcGYhgH
21 Savage,redrum,96,270697,52eIcoLUM25zbQupAZYoFh
Metro Boomin,Creepin' (with The Weeknd & 21 Savage),90,221520,2dHHgzDwk4BJdRwy9uXhTO
21 Savage,née-nah,88,220584,2yUzr8Sr6ldG8vmHhZwTnz
Drake,Jimmy Cooks (feat. 21 Savage),88,218364,3F5CgOj3wFlRv51JsHbxhe
21 Savage,n.h.i.e.,86,143718,6x9pCndnXEoea0CMcfjs9W
21 Savage,Glock In My Lap,86,193591,6pcywuOeGGWeOQzdUyti6k
Drake,Rich Flex,85,239359,1bDbXMyjaUIooNwFE9wn0N
21 Savage,all of me,84,198292,2FoahzOSxJnalPA8aBUme3
21 Savage,ball w/o you,84,195046,50a8bKqlwDEqeiEknrzkTO
21 Savage,prove it,82,207585,5wttBUDyaHAR5q9fYnN3YF
Eminem,Without Me,90,290320,7lQ8MOhq6IN2w8EYcFNSUk
Eminem,Mockingbird,89,250760,561jH07mF1jHuk7KlaeF0s
Eminem,The Real Slim Shady,89,284200,3yfqSUWxFvZELEM4PmlwIR
Eminem,Lose Yourself,81,326466,5Z01UMMf7V1o0MzF86s6WJ
Eminem,Godzilla (feat. Juice WRLD),87,210800,7FIWs0pqAYbP91WWM0vlTQ
Eminem,Love The Way You Lie,88,263373,15JINEqzVMv3SvJTAXAKED
Eminem,Till I Collapse,86,297786,4xkOaSrkexMciUUogZKVTS
Eminem,Superman,86,350320,4woTEX1wYOTGDqNXuavlRC
Eminem,Stan,84,404106,3UmaczJpikHgJFyBTAJVoz
Eminem,The Monster,82,250188,48RrDBpOSSl1aLVCalGl5C
Kendrick Lamar,All The Stars (with SZA),88,232186,3GCdLUSnKSMJhs4Tj6CV3s
Kendrick Lamar,Money Trees,82,386906,2HbKqm4o0w5wEeEFXm2sD4
Kendrick Lamar,HUMBLE.,87,177000,7KXjTSCq5nL1LoYtL7XAwS
Kendrick Lamar,LOVE. FEAT. ZACARI.,86,213400,6PGoSes0D9eUDeeAafB2As
Kendrick Lamar,PRIDE.,85,275253,6IZvVAP7VPPnsGX6bvgkqg
Baby Keem,family ties (with Kendrick Lamar),83,252262,3QFInJAm9eyaho5vBzxInN
Kendrick Lamar,Swimming Pools (Drank),84,247800,6REbwUNlppTfcnV4d4ZoZi
The Weeknd,Pray For Me (with Kendrick Lamar),73,211420,5W3Mi5lW7CIr3eTj1cc69p
Kendrick Lamar,Alright,82,219333,3iVcZ5G6tvkXZkZKlMpIUs
Kendrick Lamar,DNA.,82,185946,6HZILIRieu8S0iqY8kIKhj
JAY-Z,Ni**as In Paris,86,219333,1auxYwYrFRqZP7t3s7w4um
JAY-Z,Empire State Of Mind,85,276920,2igwFfvr1OAGX9SKDCPBwO
JAY-Z,Numb / Encore,81,205733,5sNESr6pQfIhL3krM8CtZn
JAY-Z,Run This Town,82,267520,7LR85XLWw2yXqKBSI5brbG
JAY-Z,Why I Love You,77,201453,4bDPr2VAjcfgUDmN9dGOC3
JAY-Z,No Church In The Wild,76,272506,7r6PigmGzlB3YPB7wvBBbi
JAY-Z,Otis,76,178213,14I61w6cyYUHiV2n28IYdP
JAY-Z,Gotta Have It,69,140746,6JFLZH9vCzgqnUToBdiHQb
JAY-Z,4:44,74,284493,1gT5TGwbkkkUliNzHRIGi1
JAY-Z,Big Pimpin',73,283066,7m97yKVzPpXV9Z4ezEziOD
Cardi B,WAP (feat. Megan Thee Stallion),80,187541,4Oun2ylbjFKMPTiaSbbCih
Cardi B,I Like It,79,253390,58q2HKrzhC3ozto2nDdN4z
Cardi B,Bongos (feat. Megan Thee Stallion),78,175099,4YQImHflXSiIMXntcwPkx8
Cardi B,Please Me,78,200889,0PG9fbaaHFHfre2gUVo7AN
Bruno Mars,Finesse - Remix; feat. Cardi B,77,217288,3Vo4wInECJQuz9BIBMOu8i
Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),76,204466,4vUmTMuQqjdnvlZmAH61Qk
Cardi B,Up,71,156944,1M4OcYkxAtu3ErzSgDEfoi
Cardi B,Like What (Freestyle),73,136400,3ytbtkmMnkfwMrBi32a7FD
Cardi B,Bodak Yellow,73,223712,6KBYefIoo7KydImq1uUQlL
GloRilla,Tomorrow 2 (with Cardi B),73,209811,0WNfQxDGaPTl0yogcMR5v1
Gunna,fukumean,90,125040,4rXLjWdF2ZZpXCVTfWcshS
Lil Baby,Drip Too Hard (Lil Baby & Gunna),85,145542,78QR3Wp35dqAhFEc2qAGjE
Gunna,P power (feat. Drake),80,193346,0lEjxUUlKqjqXrVlIHFduD
Internet Money,Lemonade (feat. NAV),79,195428,1p0rEzrK7YtdRZVtiyV7RN
Gunna,Drip or Drown,78,126168,6ZthdsKjWtiCxnxbhs74vF
Gunna,Bittersweet,74,191493,7yfRb4seXT7w8zVMW0dXNa
Sarz,Happiness (feat. Asake & Gunna),75,174743,6rOqLUy3kp0PVQQEtNPpbQ
Gunna,pushin P (feat. Young Thug),75,136266,3XOalgusokruzA5ZBA2Qcb
Lil Baby,"Never Recover (Lil Baby & Gunna, Drake)",74,194732,6wWaVoUOzLQJHd3bWAUpdZ
Gunna,Who You Foolin,74,151539,7KVPsVMOK3NL7subwJ0dZj
J. Cole,No Role Modelz,90,292799,68Dni7IE4VyPkTOH9mRWHr
Drake,First Person Shooter (feat. J. Cole),88,247444,7aqfrAY2p9BUSiupwk3svU
J. Cole,Wet Dreamz,85,239266,4tqcoej1zPvwePZCzuAjJd
J. Cole,Work Out,85,235320,2wAJTrFhCnQyNSD3oUgTZO
J. Cole,MIDDLE CHILD,83,213593,2JvzF1RMd7lE3KmFlsyZD8
J. Cole,Power Trip (feat. Miguel),83,241160,2uwnP6tZVVmTovzX5ELooy
Lil Durk,All My Life (feat. J. Cole),74,223878,6T7FXSuXykeGktMLGp8WgE
J. Cole,m y . l i f e (with 21 Savage & Morray),80,218801,1D3z6HTiQsNmZxjl7F7eoG
J. Cole,Love Yourz,79,211496,2e3Ea0o24lReQFR4FA7yXH
J. Cole,She Knows (feat. Amber Coffman & Cults),78,296520,0Fs9cdPDhptWEDJmiCbkEW
cassö,Prada,92,132359,59NraMJsLaMCVtwXTSia8i
D-Block Europe,Overseas,74,222154,337kcYVjYXdLBItCw9ry3b
D-Block Europe,Eagle,67,297290,6XRB1p0KkQRrnIhzX2VaCl
D-Block Europe,Darling,71,143200,2kQ9udZ0v3H8PFSVmbY1Kq
D-Block Europe,Pakistan,67,174545,4iZTNyPJuxpWmfjUQRDwBY
D-Block Europe,Ferrari Horses,70,225905,5erCwioOcRwP59NJUAtEK3
D-Block Europe,UFO,67,204000,7G5VNGDnHt414PyL8rosns
D-Block Europe,Make You Smile,67,179348,7au23Qf6zRs72N3RztqUQe
Clavish,Rocket Science,63,201480,14fM55iCs7WMckFv2apup6
D-Block Europe,I Need It Now,60,185454,5c6lzdmQ9L3LYgJkBiNWrz
Jung Kook,Seven (feat. Latto) (Explicit Ver.),89,183550,2HRgqmZQC0MC7GeNuDIXHN
Latto,Big Energy,67,172540,4pi1G1x8tl9VfdD9bL3maT
Latto,Sunday Service,71,166581,1ytVc8fTgA7hAOOR0n4EH7
Latto,Put It On Da Floor Again (feat. Cardi B),71,185748,6c6WmIHcHlhccEwSFBhzNa
Latto,Big Energy (feat. DJ Khaled) - Remix,56,181665,0nAq9zxgvrVVFYnY7ZwkCf
Latto,Lottery (feat. LU KALA),68,186761,1JUtrCqYzJ80tcAzMbCvir
Young Nudy,Peaches & Eggplants (feat. Latto & Sexyy Red),67,217213,1BmI4EYdfzbg8DlV6pHYrY
Megan Thee Stallion,Budget (feat. Latto),61,201979,3BFxkzhkESwALQxjxOVFgJ
NEIKED,I Just Called,61,150560,0H8Tclo4x4kbZruQtZFNSX
Jung Kook,Seven (David Guetta Remix),60,157440,1JedlGqkzYvVUITKsvhbPh
Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)",70,207346,6YbhspuOar1D9WSSnfe7ds
Dr. Dre,"Nuthin' But A ""G"" Thang",79,237573,5Tbpp3OLLClPJF8t1DmrFD
Snoop Dogg,Drop It Like It's Hot,78,266066,2NBQmPrOEEjA8VbeWOQGxO
Snoop Dogg,Gin and Juice,76,211866,39QBkWKnap8wRSW4WB9OK0
Snoop Dogg,Beautiful,70,298306,7FrJV8tydWEv1Mxu2mIQrm
Snoop Dogg,Who Am I (What’s My Name)?,74,246200,0eO8MW9YSTK3CjdaTYKlhF
Eminem,From The D 2 The LBC (with Snoop Dogg),58,213745,6CPAznSrkDmiPBgLXoi00f
benny blanco,Bad Decisions (with BTS & Snoop Dogg),72,172714,0xzI1KAr0Yd9tv8jlIk3sn
Snoop Dogg,Sweat - Remix,71,195986,0R7YVi7w41Dr9jU5vblAok
Snoop Dogg,I Wanna Fuck You,58,178840,2yGk5A4oipC4jvDLIVlQIJ
Metro Boomin,Trance (with Travis Scott & Young Thug),89,194786,5wG3HvLhF6Y5KTGlK0IW3J
21 Savage,pop ur shit,79,193320,47yD0e9MCRIB8dgUXPfyW3
Young Thug,pick up the phone,74,252262,4GXl8l1MfZPf2GvpyRPJBf
Travis Scott,SKITZO (feat. Young Thug),78,366592,0bkV1iQHSxBaksUqgEkcbc
Young Thug,Hot (Remix) [feat. Gunna and Travis Scott],76,279906,4ea9w8c4ROqiZpJVhfBA3m
Drake,Way 2 Sexy (with Future & Young Thug),76,257604,0k1WUmIRnG3xU6fvvDVfRG
Chris Brown,Go Crazy,76,176960,1IIKrJVP1C9N7iPtG6eOsK
Yeat,My wrist (with Young Thug),76,190133,2beD5W9IkefQ04IO39XF7w
Young Thug,Oh U Went (feat. Drake),76,185333,7qLr3HMApUbyDkUvgIvHnB
Young Thug,The London (feat. J. Cole & Travis Scott),69,200186,3s4mrPrEFFPF0LmAfutW0n
Dave,Sprinter,88,229133,2FDTHlrBguDzQkp7PVj16Q
Central Cee,Doja,83,97392,3LtpKP5abr2qqjunvjlX5i
D-Block Europe,Overseas,74,222154,337kcYVjYXdLBItCw9ry3b
The Kid LAROI,TOO MUCH,73,203894,100fbGocyqbBPQkTDchi2g
Central Cee,LET GO,79,174246,3zkyus0njMCL6phZmNNEeN
Central Cee,I Will,79,149500,27sKtH0PZpASkN8H3ZJOQf
Central Cee,Obsessed With You,73,108650,4oxGI8yyghLuMV7ybRG3kg
Dave,UK Rap,76,198026,2VjOTvl50tscmc0RDjPdr2
Central Cee,Loading,74,173333,4vzJrkfHbCGaodPA5RY5BV
Central Cee,Entrapreneur,75,144253,72v1J97VEDEoAq66SQW0yh
Quevedo,Columbia,90,186000,6XbtvPmIpyCbjuT0e8cQtp
Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",87,198937,2tTmW7RDtMQtBk7m2rYeSw
Anuel AA,OA,85,235200,6gMj2DzKR2PjrrbNSwcGFR
Quevedo,PUNTO G,82,151324,4WiQA1AGWHFvaxBU6bHghs
SAIKO,POLARIS - Remix,82,288000,0EhuGnOS6fTc5l5UNtDEH2
Quevedo,LA ÚLTIMA,82,170322,2qHvD3r5qu4wuPpvq3CQKb
Quevedo,VISTA AL MAR,79,180672,5q86iSKkBtOoNkdgEDY5WV
Quevedo,WANDA,80,160909,0Iozrbed8spxoBnmtBMshO
KAROL G,PERO TÚ,78,183480,1dw7qShk971xMD6r6mA4VN
Quevedo,PLAYA DEL INGLÉS,77,237525,0Sfn2TYbpQtCGMBf6C0Y6T
David Guetta,Baby Don't Hurt Me,87,140017,3BKD1PwArikchz2Zrlp1qi
Coi Leray,Players,71,138760,755xVrgyHyUpl9EP5e4ICf
Metro Boomin,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),77,189466,0AAMnNeIc6CdnfNU85GwCH
Coi Leray,Players (with David Guetta) - David Guetta Remix,61,152494,44r7xArc4bciyyzRU7js7X
Coi Leray,Wanna Come Thru,61,131900,1peSFUNahpj7paMnJGg9aX
Coi Leray,Players - DJ Smallz 732 - Jersey Club Remix,59,117026,731vxZpBMap84vDSqyJjf0
Coi Leray,Blick Blick (with Nicki Minaj),51,178413,2EVk5G81viWdQerww2ae4k
Pressa,Attachments (feat. Coi Leray),29,171000,6EfJ8Ct3GHbBz2YlyPnMYb
Fivio Foreign,What’s My Name (with Queen Naija & Coi Leray),58,201398,5m4TMhR7wQQGxelJa7lToQ
RAYE,Flip A Switch. (feat. Coi Leray) - Remix,55,201360,72b7GzsnUAjsk5I56hLkjp
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,87,157560,0RiRZpuVRbi7oqRdSMwhQY
French Montana,Unforgettable,87,233901,3B54sVLJ402zGa6Xm4YGNe
Metro Boomin,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",79,231746,39MK3d3fonIP8Mz9oHCTBB
Metro Boomin,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",79,219453,5rurggqwwudn9clMdcchxT
Arizona Zervas,ROXANNE - Remix,54,174548,5hC7h0yWVMkxhLbNXCscBR
Travis Scott,CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee),77,258842,4GL9GMX9t7Qkprvf1YighZ
Pharrell Williams,Airplane Tickets,72,198514,2v1FKs8SR6tYEYREKM6MNN
XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee),72,198902,2LskIZrCeLxRvCiGP8gxlh
Kane Brown,Be Like That - feat. Swae Lee & Khalid,71,191406,5f1joOtoMeyppIcJGZQvqJ
Ellie Goulding,Close To Me,64,182626,2GjMaJ7DacMIkgoe8oMXGg
Megan Thee Stallion,HISS,85,192818,79AHPJd8upvNxyK2qQcY8J
Reneé Rapp,Not My Fault (with Megan Thee Stallion),80,170528,18dlAFKaajLjRgBNZZ4ThU
Cardi B,WAP (feat. Megan Thee Stallion),80,187541,4Oun2ylbjFKMPTiaSbbCih
Maroon 5,Beautiful Mistakes (feat. Megan Thee Stallion),79,227395,5zFglKYiknIxks8geR8rcL
Cardi B,Bongos (feat. Megan Thee Stallion),78,175099,4YQImHflXSiIMXntcwPkx8
Lil Baby,On Me - Remix,47,135444,2uUFVnVFERNxUdcmvEs7LB
Megan Thee Stallion,Sweetest Pie,67,201334,3JXF3LsUjyDIHjuwhXxdjo
Megan Thee Stallion,Cobra,74,168932,3Kh8X9lHztqVBTgw30HbXn
Megan Thee Stallion,Thot Shit,68,184634,7FdmHr87G79PDRGy9SPBkZ
DJ Snake,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",72,225600,6IPNp9PfaEqrzotY47TIWy
Quavo,HOTEL LOBBY (Unc & Phew),79,142657,4vVjPTApwXZwB2H3mBq3ml
Justin Bieber,Intentions,35,212853,7jAVt70Xdg8EwOtsFB1ZqK
Quavo,Turn Yo Clic Up (feat. Future),67,230835,2IHdMccpnU0PGHGltqM2Sq
Quavo,Himothy,69,159749,00p23Uw776hxaIGNWL9S1Y
DJ Khaled,No Brainer,65,260000,5WvAo7DNuPRmk4APhdPzi8
ATL Jacob,RNS,68,138856,4b8zFITxLmN0rIbhuj5wub
Quavo,Greatness,62,185000,5yemXFXSGZoTXNOjj3dbuz
Jason Derulo,Last Night,66,142451,2Ta6ifieWLIajtXPI8NSra
Quavo,To The Bone (feat. YoungBoy Never Broke Again),66,283196,4wRJHXHDJnKSPr9IVn0BFR
Kanye West,Champions,66,334253,2nBI3iWLhupR7LyAJ5GGkE
Bizarrap,"Young Miko: Bzrp Music Sessions, Vol. 58",92,187172,6VciS3dRMpZhJiDxT8ArFi
Trueno,Mamichula - con Nicki Nicole,89,219201,0TUW9faHNaBmi89wsYGp9y
Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",87,198937,2tTmW7RDtMQtBk7m2rYeSw
Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",84,214945,4nrPB8O7Y7wsOCJdgXkthe
Bizarrap,Fruto,83,132294,4SW9gHnW8NfKOdqmh0ij45
Rauw Alejandro,BABY HELLO,76,222461,21N77gfWYoQDvrLvaeiQgi
Bizarrap,"Milo J: Bzrp Music Sessions, Vol. 57",81,189901,1iLbUmb2b2btyAAcQ68a1p
Bizarrap,"Peso Pluma: Bzrp Music Sessions, Vol. 55",81,188361,5AqiaZwhmC6dIbgWrD5SzV
Bizarrap,No soy Eterno,79,151468,0aPs3kmiqmt9QG7gWXdefA
Bizarrap,"Tiago PZK: Bzrp Music Sessions, Vol. 48",77,160000,6VAS7m73rDopQe7BdrFMpD
Dua Lipa,Levitating (feat. DaBaby),84,203064,5nujrmhLynf4yMoMtj8AQF
DaBaby,BOP,79,159714,6Ozh9Ok6h4Oi1wUSLtBseN
DaBaby,ROCKSTAR (feat. Roddy Ricch),78,181733,7ytR5pFWmSjzHJIeQkgog4
Quality Control,Baby (Lil Baby feat. DaBaby),77,142417,5MPPttjfGap2C6j6eKcO6J
That Mexican OT,Point Em Out (with DaBaby),60,133983,57QFfY6fYEwksK7FNMkSm8
DaBaby,SHAKE SUMN,71,124805,3FhZPYvMGSjFc6boVYKlCv
DaBaby,Suge,70,163320,2gwkD6igEhQbDQegRCcdoB
DaBaby,Ball If I Want To,70,112546,0cu0rhnlCnJ7JIeHRiLpj3
DaBaby,VIBEZ,69,144935,0fySG6A6qLE8IvDpayb5bM
DaBaby,TOES (feat. Lil Baby & Moneybagg Yo),69,136366,2FvD20Z8aoWIePi7PoN8sG
¥$,CARNIVAL,96,264324,3w0w2T288dec0mgeZZqoNN
¥$,BURN,89,111458,04CyMEHliadfQWMUJb1w99
¥$,FUK SUMN,88,209577,5tEaVciE2GnR28aN6W9cLS
¥$,BACK TO ME,86,295471,1icgLGTpX2fQXKRe4D7w2b
¥$,STARS,84,115238,347AQK5Lyhn6RvB8tBGYxt
¥$,DO IT,83,225000,2iGvsJuc2mC4mDVOVMNAP6
¥$,TALKING,81,185110,1eaqMiiUn2P7MnqJK4XeK0
¥$,PAID,82,195117,2y4ZR0BUAVePljHSsZyIgj
¥$,PAPERWORK,82,145785,2yyO7EKRr7c3txi4xCXUFk
¥$,VULTURES,80,276986,3SIRBp4RRQ2AO5H4NO7xfq
Lil Durk,All My Life (feat. J. Cole),74,223878,6T7FXSuXykeGktMLGp8WgE
21 Savage,dangerous,80,265305,0fyP96TikhD9sM4eKqw5Yp
Drake,Laugh Now Cry Later (feat. Lil Durk),80,261492,2SAqBLGA283SUiwJ3xOUVI
Lil Durk,Broadway Girls (feat. Morgan Wallen),75,185600,7qTaDOcld0VmBWXnkbUj45
Lil Durk,Stand By Me (feat. Morgan Wallen),76,219173,1fXnu2HzxbDtoyvFPWG3Bw
Lil Durk,3 Headed Goat (feat. Lil Baby & Polo G),75,169531,6Tguhaf2uAe6OjRLsR2Tql
Nardo Wick,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",70,279573,7ACW7VpgoKmfM1sKo15UhX
Lil Durk,Old Days,73,195267,7gM0bjWc2LpgZTihy4U18P
Lil Durk,Still Trappin',71,172185,1lw4FrPr3Y8R7Q1Mro2TMe
Only The Family,Hellcats & Trackhawks,71,146844,53tv6ZbyeAwfAUwFaxYbfO
¥$,CARNIVAL,96,264324,3w0w2T288dec0mgeZZqoNN
The Weeknd,Popular (with Playboi Carti & Madonna),85,215466,7GUhiAHLoVy1V8ucQuZ3CB
Travis Scott,FE!N (feat. Playboi Carti),93,191700,42VsgItocQwOQC3XWZ8JNA
Playboi Carti,Sky,85,193234,29TPjc8wxfz4XMn21O7VsZ
Playboi Carti,Magnolia,82,181812,1e1JKLEDKP7hEQzJfNAgPl
Playboi Carti,Location,81,168783,3yk7PJnryiJ8mAPqsrujzf
Drake,Pain 1993 (with Playboi Carti),81,149077,6Kj17Afjo1OKJYpf5VzCeo
Playboi Carti,ILoveUIHateU,81,135122,1BpKJw4RZxaFB88NE5uxXf
Playboi Carti,New Tank,79,89741,4txKMpsSfZRV6durPuHVq0
Playboi Carti,Shoota (feat. Lil Uzi Vert),79,153800,2BJSMvOGABRxokHKB0OI8i
Lil Baby,Drip Too Hard (Lil Baby & Gunna),85,145542,78QR3Wp35dqAhFEc2qAGjE
Lil Baby,Freestyle,84,162053,5BbdKBZO0TH0GhfxUfyhL9
Lil Baby,Yes Indeed,84,142273,6vN77lE9LK6HP2DewaN6HZ
Lil Baby,Pure Cocaine,83,154023,577YBGuskWkVDCxZrLRB4v
Drake,Wants and Needs (feat. Lil Baby),81,192956,65OVbaJR5O1RmwOQx0875b
Lil Baby,Low Down,80,144651,5m0yZ33oOy0yYBtdTXuxQe
Lil Baby,Sum 2 Prove,75,205760,5f4Hy5mw5SRaUgXX9c6P5S
Quality Control,Baby (Lil Baby feat. DaBaby),77,142417,5MPPttjfGap2C6j6eKcO6J
Drake,Girls Want Girls (with Lil Baby),78,221979,37Nqx7iavZpotJSDXZWbJ3
Lil Baby,Life Goes On,78,247054,2bSk87AVkCIIC3Bcligq1z
Flo Rida,Low (feat. T-Pain),84,231400,0CAfXk7DXMnon4gLudAp7J
Flo Rida,Right Round,82,204640,3GpbwCm3YxiWDvy29Uo3vP
